experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	B07	AP1B1	100000476	3AT	1	0	4	37640	27006
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	D04	AP1B1	100000476	3AT	1	3	4	28321	20206
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	G05	AP1B1	100000476	3AT	1	0	4	41565	30270
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	B04	AP2B1	4761	3AT	1	3	4	33406	24304
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	H06	AP2B1	4761	3AT	1	0	3	23753	16863
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	E05	AP2B1	4761	3AT	1	0	3	31815	23349
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	D07	MAGEA8	6552	3AT	1	0	4	41315	29520
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	F04	MAGEA8	6552	3AT	1	3	4	26069	18643
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	A06	MAGEA8	6552	3AT	1	0	4	40186	29086
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	G04	MYOG	11922	3AT	1	3	3	39023	28465
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	B06	MYOG	11922	3AT	1	0	2	24098	17124
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	E07	MYOG	11922	3AT	1	0	1	19018	13908
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	H03	NFIX	53964	3AT	1	3	3	55877	40580
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	C05	NFIX	53964	3AT	1	0	3	48890	35451
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	F06	NFIX	53964	3AT	1	0	3	41116	28508
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	B05	PER2	40080658	3AT	1	0	4	24100	16885
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	E06	PER2	40080658	3AT	1	0	4	27443	19416
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	G03	PER2	40080658	3AT	1	3	4	34564	24613
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	A07	PPP1R13B	70264	3AT	1	0	2	25908	18701
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	F05	PPP1R13B	70264	3AT	1	0	3	28792	20950
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	C04	PPP1R13B	70264	3AT	1	3	3	37257	27178
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	H05	PTPN3	54341	3AT	1	0	0	122	22
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	E04	PTPN3	54341	3AT	1	3	3	13565	10190
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	C07	PTPN3	54341	3AT	1	0	0	34	3
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	G06	SPERT	1611	3AT	1	0	4	31148	21696
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	A04	SPERT	1611	3AT	1	3	4	33540	24089
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	D05	SPERT	1611	3AT	1	0	4	29660	21461
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	D06	ZNF212	2500	3AT	1	0	2	35024	25036
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	A05	ZNF212	2500	3AT	1	0	3	15437	11189
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	F03	ZNF212	2500	3AT	1	3	3	41135	30028
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	1	F07	empty-AD	0	3AT	1	0	1	25764	18887
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	3	H04	empty-AD	0	3AT	1	3	3	62893	47163
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	MLH1	2713	2	C06	empty-AD	0	3AT	1	0	0	340	95
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	G01	BICRAL	54625	3AT	1	0	4	45886	35050
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	B02	NPAS2	70947	3AT	1	0	1	22317	18037
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	C02	RAD23A	7058	3AT	1	0	4	45904	35639
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	H01	RAD23B	150	3AT	1	0	4	68327	52158
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	D01	TCF12	11648	3AT	1	0	4	38510	29864
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	A02	TRAFD1	3799	3AT	1	0	3	45293	34759
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	E01	TRIM54	55664	3AT	1	0	4	37314	28608
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	D02	UBQLN1	2261	3AT	1	0	4	48279	36546
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	F01	VMAC	71503	3AT	1	0	2	45287	35399
HsVcPPIP01a1	32W22Q_7_sample_7	J_DB	D_AD	NGLY1	5221	1	E02	empty-AD	0	3AT	1	0	0	184	1
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	NMNAT1	7675	1	A04	KPNA3	2347	3AT	1	0	3	49662	44350
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	NMNAT1	7675	1	H03	NMNAT1	7675	3AT	1	0	4	66458	58549
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	NMNAT1	7675	1	B04	empty-AD	0	3AT	1	0	0	33	1
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	PCYT1A	11386	1	H08	MAGEA3	100009500	3AT	1	0	2	72818	62742
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	PCYT1A	11386	1	G08	PCYT1A	11386	3AT	1	0	4	59576	51319
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	PCYT1A	11386	1	F08	PCYT1B	71081	3AT	1	0	2	67507	58113
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	PCYT1A	11386	1	A09	empty-AD	0	3AT	1	0	0	40	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	PHYH	2156	1	E04	MAGEA11	4361	3AT	1	0	0	19	0
HsVcPPIP01a1	32W22Q_1_sample_1	J_DB	D_AD	PHYH	2156	1	F04	empty-AD	0	3AT	1	0	0	61	1
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	B05	CCDC14	2304	3AT	1	0	1	13170	10590
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	H05	CNTROB	12626	3AT	1	0	4	38546	30718
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	C05	COL17A1	100068264	3AT	1	0	2	13553	11011
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	G06	DVL3	9635	3AT	1	0	4	24586	19501
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	D06	IKZF1	2940	3AT	1	0	3	30133	24084
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	G05	KANK2	14983	3AT	1	0	0	43	7
HsVcPPIP01a1	32W22Q_4_sample_4	J_DB	D_AD	PNKP	9905	1	F05	KLHL12	4623	3AT	1	0	2	40111	31923
