orf_id	symbol_dacc
12527	JAGN1
12535	TREX1
12541	VPS52
12545	FTSJ1
12549	LAGE3
12554	C1QA
12568	ATPAF2
12573	DES
12585	TNNI2
12587	VKORC1L1
12590	AP4M1
12626	CNTROB
12632	SLC35C2
12638	CD74
12653	FARS2
12657	CFAP410
12685	RAD54L2
12686	RBFOX2
12696	HEXIM2
12705	STRA6
12739	GNAI3
12746	TBX6
12765	TWIST2
12792	SHKBP1
12801	POLR2J
12806	TWF1
12825	CLDN20
12834	NFIA
12844	ZCCHC10
12861	SRARP
12865	PIK3R1
12868	UBE2E2
12877	RABGGTB
12904	FARSB
12918	SLC35A1
12919	CDC42EP2
12920	SDC4
12927	SPATA6
12936	SLC7A9
13022	SH2D1A
13067	BLZF1
13108	MS4A4A
13113	MCEE
13114	AQP9
13125	NGDN
13142	LGALS14
13149	CT55
13167	KCTD6
13182	TERF1
13199	SLC13A3
13206	CIDEB
13211	DNAJC1
13215	METTL15
13219	GPX8
13227	NEFL
13235	ANK1
13286	AGR3
13295	TTPA
13314	HBQ1
13318	BANF2
13320	VHL
13326	ZMAT2
13341	H4C3
13363	GPATCH2L
13378	LDHA
13423	SPRY2
13479	FUZ
13502	PSCA
13540	TMEM199
13542	TRIM72
13548	EDA2R
13554	GLYCTK
13559	KCNN3
13561	MKRN3
13563	NAXD
13571	XRCC2
13579	SARS2
13585	RAB4B
13592	KRT4
13597	CCDC103
13600	KRT34
13612	MAGEA6
13628	KLRC1
13657	TBX2
13662	CYSRT1
13689	TIMP2
13721	PRDM14
13767	HSPD1
13768	UBR2
13790	LEP
13791	KRTAP5-9
13795	MEOX1
13796	HBD
13813	CRYAA
13830	IFNA13
13831	CAV3
13835	FGF10
13850	CSN2
13874	MBL2
13876	MOS
13913	SPRY3
13916	KCNJ5
13919	GATAD2B
13939	KRT86
13943	GCM2
13953	CYP4F22
13954	KCNA6
13969	UBASH3A
13989	HOXD10
14011	DEFA6
14012	CD200R1
14015	PRKAA2
14019	CA8
14023	LMO1
14031	SLC10A1
14048	DEFB127
14057	KRTAP3-3
14087	LHX8
14117	DNM2
14122	PTCH1
14153	TSC1
14158	VPS29
14202	TNFAIP3
14208	ANKRD13A
14215	KRT1
14217	PAX3
14221	KCTD1
14232	NRG1
14249	MGAT5B
14251	ARID5A
14269	ZNF774
14273	SPRY1
14309	SBDS
14311	MSR1
14318	REEP1
14319	MDM4
14338	TMEM14B
14364	TBC1D3G
14377	BIRC8
14387	CENPP
14396	NT5C3A
14398	PDE4DIP
14404	SPATA8
14408	CCDC74B
14410	GUCD1
14421	RINT1
14440	PHLDB3
14441	GGA3
14444	PRKAG2
14447	SPOPL
14458	KLHL10
14468	TPK1
14495	USP25
14497	DHX32
14498	VASN
14534	C9orf72
14577	IL7R
14596	GPR61
14613	BRCA1
14642	TNPO2
14650	NKAPD1
14656	BICD2
14673	DLD
14679	CDKN2C
14681	ATP6V1B2
14691	LATS1
14795	ADGRG3
14830	PFDN5
14862	GOLGA2
14864	WTAP
14872	PIGS
14879	SS18L1
14887	HMBOX1
14891	EED
14908	CCDC196
14910	HGD
14935	RBMY1D
14957	PRAP1
14959	CSF2RA
14966	KRT8
14968	IQCE
14973	KRT5
14983	KANK2
14996	PBX2
15010	ZNF385C
15065	BCL2L11
15066	RADX
52589	KRTAP19-7
52604	NRN1L
52607	NANOS3
52634	CPLX4
52638	MPC2
52655	PLP2
52659	NHLH2
52678	PCDHB14
52694	KCNV2
52699	ERMAP
52744	SYT2
52758	ZNF792
52781	POC5
52785	USH1G
52802	ARL13B
52806	MAGEB10
52828	ZNF624
52849	ANKRD23
52859	CCDC136
52866	CEACAM3
52879	SNW1
52891	HAND2
52903	SCO2
52912	KCNC1
52920	LITAF
52936	SLC18A2
52938	TPH1
52942	GABARAP
52949	KIF24
52950	STRN
52956	APRT
52971	TBC1D22B
52977	PHETA2
52988	CYP24A1
52993	EHHADH
53010	SP4
53025	ZBTB14
53030	FAM161A
53031	PADI3
53044	KIAA0753
53053	CCHCR1
53065	IL10
53089	TNFRSF13B
53090	SERP1
53113	HSPB2
53212	ROPN1
53219	TRIM42
53235	SNRPC
53238	MOB3C
53281	PYGM
53344	TTC39B
53412	OSGIN1
53456	NEK8
53479	POU4F3
53508	HSD17B13
53524	ZSCAN22
53536	SLC35E2A
53595	DOCK2
53604	GADD45B
53625	FAM9A
53626	LCE4A
53651	TBL1XR1
53657	FOXP3
53675	FAM133A
53702	TMEM30B
53737	BFSP2
53738	RTP5
53744	KRTAP13-1
53777	FGF17
53785	POMK
53798	NFU1
53802	UBXN2B
53820	APOA4
53833	CARD10
53836	FBP2
53842	SDCBP
53851	SLC24A5
53886	TLE5
53890	CD79A
53921	HHAT
53941	KAT5
53942	REL
53964	NFIX
53965	SMARCB1
53991	KRTAP9-2
54043	FADS6
54046	CTNNAL1
54054	ZNF569
54082	PRPF31
54097	GATA5
54115	ZBTB24
54139	SELENOV
54142	OLFM4
54148	CASK
54167	RRM2B
54175	NEUROG3
54230	MIP
54271	SMYD1
54276	AVP
54296	KRT13
54308	PKP2
54326	EDA
54341	PTPN3
54354	KRTAP4-11
54355	EBF3
54364	MTNR1A
54406	TMIE
54416	LPAR3
54426	ZNF587
54459	RNF135
54484	CORO1A
54492	GPR25
54625	BICRAL
54642	AMOT
54647	TRAF3IP3
54667	KRTAP8-1
54668	KRT40
54690	NUTM2F
54692	HOMEZ
54699	CTAG1B
54736	QRICH1
54741	HNRNPH2
54777	FAM111B
54784	GCKR
54816	MSH3
54835	FBXO11
54847	COL10A1
54855	LCE2D
54869	KRTAP11-1
54901	FSD2
54914	TAT
54957	USP54
54965	KCTD8
55014	ALOX5
55026	TBX18
55030	STRN3
55039	TRIM7
55045	ZNF341
55128	BRIP1
55150	MLH3
55162	CENPJ
55222	SLC6A20
