orf_id	ensembl_gene_id	ensembl_gene_id_version	ensembl_protein_id	hgnc_symbol	hgnc_id	uniprot_ac
856	ENSG00000176896	9	ENSP00000512421	TCEANC	HGNC:28277	Q8N8B7
861	ENSG00000143815	15	ENSP00000272163	LBR	HGNC:6518	Q14739
869	ENSG00000166091	21	ENSP00000352270	CMTM5	HGNC:19176	Q96DZ9
876	ENSG00000112763	17	ENSP00000416945	BTN2A1	HGNC:1136	Q7KYR7
879	ENSG00000151224	13	ENSP00000361287	MAT1A	HGNC:6903	Q00266
888	ENSG00000175198	17	ENSP00000365462	PCCA	HGNC:8653	P05165
891	ENSG00000112081	17	ENSP00000362820	SRSF3	HGNC:10785	P84103
918	ENSG00000101997	13	ENSP00000365401	CCDC22	HGNC:28909	O60826
925	ENSG00000114978	18	ENSP00000379364	MOB1A	HGNC:16015	Q9H8S9
931	ENSG00000086475	15	ENSP00000367893	SEPHS1	HGNC:19685	P49903
946	ENSG00000143753	13	ENSP00000316476	DEGS1	HGNC:13709	O15121
954	ENSG00000174851	16	ENSP00000366098	YIF1A	HGNC:16688	O95070
955	ENSG00000075624	17	ENSP00000494750	ACTB	HGNC:132	P60709
956	ENSG00000168958	21	ENSP00000304134	MFF	HGNC:24858	Q9GZY8
957	ENSG00000178078	12	ENSP00000471052	STAP2	HGNC:30430	Q9UGK3
961	ENSG00000165630	15	ENSP00000367835	PRPF18	HGNC:17351	Q99633
968	ENSG00000135069	14	ENSP00000365773	PSAT1	HGNC:19129	Q9Y617
978	ENSG00000268606	6	ENSP00000507899	MAGEA2	HGNC:6800	P43356
989	ENSG00000129245	13	ENSP00000250113	FXR2	HGNC:4024	P51116
991	ENSG00000236104	3	ENSP00000407545	ZBTB22	HGNC:13085	O15209
996	ENSG00000134684	13	ENSP00000362576	YARS1	HGNC:12840	P54577
998	ENSG00000133818	14	ENSP00000256196	RRAS2	HGNC:17271	P62070
1012	ENSG00000135932	12	ENSP00000258418	CAB39	HGNC:20292	Q9Y376
1037	ENSG00000102977	18	ENSP00000478084	ACD	HGNC:25070	Q96AP0
1039	ENSG00000188295	15	ENSP00000342818	ZNF669	HGNC:25736	Q96BR6
1052	ENSG00000011590	14	ENSP00000433657	ZBTB32	HGNC:16763	Q9Y2Y4
1063	ENSG00000205571	14	ENSP00000370119	SMN2	HGNC:11118	Q16637
1069	ENSG00000104783	15	ENSP00000496939	KCNN4	HGNC:6293	O15554
1074	ENSG00000080561	14	ENSP00000413976	MID2	HGNC:7096	Q9UJV3
1081	ENSG00000175387	16	ENSP00000262160	SMAD2	HGNC:6768	Q15796
1097	ENSG00000072778	20	ENSP00000349297	ACADVL	HGNC:92	P49748
1107	ENSG00000203667	10	ENSP00000406327	COX20	HGNC:26970	Q5RI15
1136	ENSG00000135363	12	ENSP00000379175	LMO2	HGNC:6642	P25791
1142	ENSG00000152661	9	ENSP00000282561	GJA1	HGNC:4274	P17302
1155	ENSG00000128683	14	ENSP00000350928	GAD1	HGNC:4092	Q99259
1161	ENSG00000114279	15	ENSP00000393686	FGF12	HGNC:3668	P61328
1172	ENSG00000172568	5	ENSP00000310594	FNDC9	HGNC:33547	Q8TBE3
1190	ENSG00000101624	11	ENSP00000262127	CEP76	HGNC:25727	Q8TAP6
1194	ENSG00000163630	11	ENSP00000295894	SYNPR	HGNC:16507	Q8TBG9
1198	ENSG00000125735	11	ENSP00000502837	TNFSF14	HGNC:11930	O43557
1214	ENSG00000180332	7	ENSP00000368402	KCTD4	HGNC:23227	Q8WVF5
1227	ENSG00000113595	15	ENSP00000231524	TRIM23	HGNC:660	P36406
1230	ENSG00000122958	15	ENSP00000263559	VPS26A	HGNC:12711	O75436
1231	ENSG00000240583	14	ENSP00000311165	AQP1	HGNC:633	P29972
1235	ENSG00000116983	13	ENSP00000361935	HPCAL4	HGNC:18212	Q9UM19
1256	ENSG00000146021	15	ENSP00000312397	KLHL3	HGNC:6354	Q9UH77
1275	ENSG00000167487	12	ENSP00000300976	KLHL26	HGNC:25623	Q53HC5
1284	ENSG00000150787	8	ENSP00000280362	PTS	HGNC:9689	Q03393
1317	ENSG00000101349	17	ENSP00000322957	PAK5	HGNC:15916	Q9P286
1326	ENSG00000117335	21	ENSP00000346912	CD46	HGNC:6953	P15529
1328	ENSG00000164707	16	ENSP00000297282	SLC13A4	HGNC:15827	Q9UKG4
1391	ENSG00000162814	11	ENSP00000355900	SPATA17	HGNC:25184	Q96L03
1414	ENSG00000137098	14	ENSP00000340982	SPAG8	HGNC:14105	Q99932
1446	ENSG00000163206	6	ENSP00000357754	SMCP	HGNC:6962	P49901
1454	ENSG00000168763	16	ENSP00000305449	CNNM3	HGNC:104	Q8NE01
1485	ENSG00000140009	19	ENSP00000345616	ESR2	HGNC:3468	Q92731
1496	ENSG00000143702	16	ENSP00000430142	CEP170	HGNC:28920	Q5SW79
1527	ENSG00000188386	8	ENSP00000363939	PPP3R2	HGNC:9318	Q96LZ3
1557	ENSG00000155304	6	ENSP00000285667	HSPA13	HGNC:11375	P48723
1579	ENSG00000163060	8	ENSP00000295201	TEKT4	HGNC:31012	Q8WW24
1586	ENSG00000075945	13	ENSP00000354560	KIFAP3	HGNC:17060	Q92845
1596	ENSG00000114107	9	ENSP00000264982	CEP70	HGNC:29972	Q8NHQ1
1598	ENSG00000136143	16	ENSP00000494360	SUCLA2	HGNC:11448	Q9P2R7
1601	ENSG00000145715	15	ENSP00000274376	RASA1	HGNC:9871	P20936
1611	ENSG00000174015	10	ENSP00000368249	CBY2	HGNC:30720	Q8NA61
1617	ENSG00000165120	5	ENSP00000297819	SSMEM1	HGNC:29580	Q8WWF3
1639	ENSG00000152193	8	ENSP00000282003	OBI1	HGNC:20308	Q5W0B1
1640	ENSG00000136631	16	ENSP00000495563	VPS45	HGNC:14579	Q9NRW7
1668	ENSG00000131931	8	ENSP00000254250	THAP1	HGNC:20856	Q9NVV9
1734	ENSG00000166579	16	ENSP00000333982	NDEL1	HGNC:17620	Q9GZM8
1736	ENSG00000154065	17	ENSP00000468354	ANKRD29	HGNC:27110	Q8N6D5
1769	ENSG00000175294	6	ENSP00000309052	CATSPER1	HGNC:17116	Q8NEC5
1777	ENSG00000153815	18	ENSP00000381120	CMIP	HGNC:24319	Q8IY22
1800	ENSG00000060762	19	ENSP00000354223	MPC1	HGNC:21606	Q9Y5U8
1805	ENSG00000177426	22	ENSP00000339631	TGIF1	HGNC:11776	Q15583
