experiment	sequence_project_id	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	db_aa_score	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TMEM199	13540	1	D08	STX1A	12260	3AT	1	0	2	NULL	11320
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TMEM199	13540	1	E08	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CLDN19	9634	1	F08	KRT31	56141	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CLDN19	9634	1	G08	KRT34	13600	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CLDN19	9634	1	H08	MFF	956	3AT	1	0	2	NULL	14881
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CLDN19	9634	1	A09	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	B09	RALY	71484	3AT	1	0	4	NULL	7482
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	C09	ZNF408	252	3AT	1	0	2	NULL	4487
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	D09	WDYHV1	4786	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	E09	METTL13	2644	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	F09	ZNF385C	15010	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	G09	RALYL	2208	3AT	1	0	3	NULL	24665
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	H09	THAP1	1668	3AT	1	0	4	NULL	15194
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	THAP1	1668	1	A10	emptyAD	0	3AT	1	0	0	NULL	1
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	NEUROG3	54175	1	B10	TCF4	56644	3AT	1	0	4	NULL	8482
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	NEUROG3	54175	1	C10	TCF12	11648	3AT	1	0	4	NULL	9367
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	NEUROG3	54175	1	D10	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CSNK2B	71965	1	E10	TRIM54	55664	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	CSNK2B	71965	1	F10	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	HPRT1	7982	1	G10	HPRT1	7982	3AT	1	0	3	NULL	13889
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	HPRT1	7982	1	H10	PRTFDC1	2860	3AT	1	0	4	NULL	9453
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	HPRT1	7982	1	A11	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	LHFPL5	2012	1	B11	CCDC155	9267	3AT	1	0	2	NULL	6865
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	LHFPL5	2012	1	C11	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PDE4D	9020	1	D11	COIL	6448	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PDE4D	9020	1	E11	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PLP1	4062	1	F11	STX1A	12260	3AT	1	0	2	NULL	1045
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PLP1	4062	1	G11	CREB3L1	7617	3AT	1	0	2	NULL	10650
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PLP1	4062	1	H11	PTPRN	4946	3AT	1	0	3	NULL	1693
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	PLP1	4062	1	A12	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TPK1	14468	1	B12	TPK1	14468	3AT	1	2	4	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TPK1	14468	1	C12	emptyAD	0	3AT	1	2	2	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TPM1	11872	1	D12	MAD1L1	6811	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TPM1	11872	1	E12	KXD1	4621	3AT	1	0	4	NULL	5391
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	J_DB_DB_n_for	F_AD_term_i5	TPM1	11872	1	F12	emptyAD	0	3AT	1	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	INS	5628	1	A01	CYSRT1	13662	3AT	2	0	0	NULL	0
HsVcPPIP02rdo	NULL	9N4QRD_sample_01	M_DB_DB_n_for	D_AD_term_i5	INS	5628	1	B01	emptyAD	0	3AT	2	0	0	NULL	0
