experiment	sample_name	primerset_5	primerset_3	symbol	orf_id	pool_id	well	interactor_symbol	interactor_id	media	repeat_id	y2h_score	well_read_cnt	mapped_read_cnt
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	E09	ACOT12	71646	3AT	1	4	25118	21196
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	NAA10	3180	1	F09	empty-AD	0	3AT	1	0	204	164
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PLP1	4062	1	G09	CREB3L1	7617	3AT	1	2	5958	4906
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PLP1	4062	1	H09	PTPRN	4946	3AT	1	2	6131	5137
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	PLP1	4062	1	A10	empty-AD	0	3AT	1	0	245	168
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TPK1	14468	1	B10	TPK1	14468	3AT	1	4	16534	14175
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TPK1	14468	1	C10	empty-AD	0	3AT	1	0	64	33
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TPM1	11872	1	D10	MAD1L1	6811	3AT	1	0	175	137
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TPM1	11872	1	E10	KXD1	4621	3AT	1	4	18823	15779
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TPM1	11872	1	F10	empty-AD	0	3AT	1	0	5078	94
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TNFRSF13B	53089	1	G10	SGTA	3952	3AT	1	4	17693	14738
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	TNFRSF13B	53089	1	H10	empty-AD	0	3AT	1	0	173	124
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	SFTPA2	56023	1	A11	UBQLN2	71001	3AT	1	3	17344	15092
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	SFTPA2	56023	1	B11	empty-AD	0	3AT	1	0	303	266
HsVcPPIP02a1	J37X7P_1_sample_1	J_DB	C_AD	CRYBB1	10165	1	C11	GAS8	71876	3AT	1	4	26661	22437
